Variable,Variable_Label,Values,Value_Labels
IGSOURCE_e_W144,Other people you don’t know personally // Do you ever get news from each of the following on Instagram?,1,"Yes, I get news on Instagram from them"
IGSOURCE_e_W144,,2,"No, I don’t get news on Instagram from them"
IGSOURCE_e_W144,,99,Refused
IGTYPE_a_W144,Funny posts that reference current events // Do you ever see each of the following on Instagram?,1,"Yes, I see this on Instagram"
IGTYPE_a_W144,,2,"No, I don’t see this on Instagram"
IGTYPE_a_W144,,99,Refused
IGTYPE_b_W144,"News articles, whether posted, reposted, linked, or screenshotted // Do you ever see each of the following on Instagram?",1,"Yes, I see this on Instagram"
IGTYPE_b_W144,,2,"No, I don’t see this on Instagram"
IGTYPE_b_W144,,99,Refused
IGTYPE_c_W144,People expressing opinions about current events // Do you ever see each of the following on Instagram?,1,"Yes, I see this on Instagram"
IGTYPE_c_W144,,2,"No, I don’t see this on Instagram"
IGTYPE_c_W144,,99,Refused
IGTYPE_d_W144,Information about a breaking news event as it’s happening // Do you ever see each of the following on Instagram?,1,"Yes, I see this on Instagram"
IGTYPE_d_W144,,2,"No, I don’t see this on Instagram"
IGTYPE_d_W144,,99,Refused
IGACC_W144,How often do you see news on Instagram that seems inaccurate?,1,Extremely often
IGACC_W144,,2,Fairly often
IGACC_W144,,3,Sometimes
IGACC_W144,,4,Rarely
IGACC_W144,,5,Never
IGACC_W144,,99,Refused
IGINFLUENCE_W144,"How much, if at all, do you think Instagram influences which news stories you see on the platform?",1,A lot
IGINFLUENCE_W144,,2,Some
IGINFLUENCE_W144,,3,Not much
IGINFLUENCE_W144,,4,Not at all
IGINFLUENCE_W144,,99,Refused
IGELSE_W144,Would you say the news you get on Instagram is…,1,Mostly news you would have gotten elsewhere if you didn’t use Instagram
IGELSE_W144,,2,Mostly news you would not have gotten elsewhere
IGELSE_W144,,3,Both about equally
IGELSE_W144,,99,Refused
IGWORN_W144,How often do you feel worn out by the news you see on Instagram?,1,Extremely often
IGWORN_W144,,2,Fairly often
IGWORN_W144,,3,Sometimes
IGWORN_W144,,4,Rarely
IGWORN_W144,,5,Never
IGWORN_W144,,99,Refused
IGHARASS_W144,How much of a problem is people getting harassed on Instagram?,1,Major problem
IGHARASS_W144,,2,Minor problem
IGHARASS_W144,,3,Not a problem
IGHARASS_W144,,99,Refused
IGSHARE_W144,Do you ever post or share on Instagram?,1,"Yes, I do"
IGSHARE_W144,,2,"No, I don’t"
IGSHARE_W144,,99,Refused
IGSHAREPOL_W144,How much of what you post or share on Instagram is about politics or political issues?,1,All or almost all
IGSHAREPOL_W144,,2,Most
IGSHAREPOL_W144,,3,Some
